war_name,war_type,start_year,end_year,region,country_name,description,notable_figures
Trojan War,war,-1260,-1180,Europe,Greece,Legendary war between Greeks and Troy immortalized in Homer's Iliad,Achilles; Hector; Odysseus; Agamemnon
Greco-Persian Wars,war,-499,-449,Europe,Greece,Series of conflicts between Greek city-states and the Persian Empire,Leonidas; Themistocles; Xerxes I; Darius I
Battle of Thermopylae,battle,-480,-480,Europe,Greece,Spartan-led Greek stand against the Persian invasion at a narrow pass,Leonidas I; Xerxes I
Battle of Marathon,battle,-490,-490,Europe,Greece,Athenian victory over Persia that preserved Greek independence,Miltiades; Darius I
Peloponnesian War,war,-431,-404,Europe,Greece,Devastating war between Athens and Sparta for Greek supremacy,Pericles; Alcibiades; Lysander
Wars of Alexander the Great,war,-334,-323,Europe,Greece,Macedonian conquest spanning from Greece to India,Alexander the Great; Darius III
Punic Wars,war,-264,-146,Europe,Italy,Three wars between Rome and Carthage for Mediterranean dominance,Hannibal; Scipio Africanus; Cato the Elder
Battle of Cannae,battle,-216,-216,Europe,Italy,Hannibal's masterpiece double-envelopment of the Roman army,Hannibal Barca; Lucius Aemilius Paullus
Gallic Wars,war,-58,-50,Europe,France,Julius Caesar's conquest of Gaul expanding Roman territory,Julius Caesar; Vercingetorix
Roman Civil War,war,-49,-45,Europe,Italy,Conflict between Caesar and Pompey that ended the Roman Republic,Julius Caesar; Pompey; Marcus Brutus
Battle of Actium,battle,-31,-31,Europe,Italy,Naval battle where Octavian defeated Antony and Cleopatra,Octavian; Mark Antony; Cleopatra
Jewish-Roman Wars,war,66,136,Asia,Israel,Series of revolts by Jews against Roman occupation,Titus; Bar Kokhba; Josephus
Fall of the Western Roman Empire,war,395,476,Europe,Italy,Gradual collapse under barbarian invasions and internal decay,Romulus Augustulus; Odoacer; Alaric
Battle of Tours,battle,732,732,Europe,France,Frankish victory halting Muslim advance into Western Europe,Charles Martel; Abdul Rahman Al Ghafiqi
Viking Invasions of England,war,793,1066,Europe,United Kingdom,Waves of Norse raids and settlement across the British Isles,Ragnar Lothbrok; Alfred the Great
Reconquista,war,718,1492,Europe,Spain,Christian reconquest of the Iberian Peninsula from Moorish rule,El Cid; Isabella I; Ferdinand II
Battle of Hastings,battle,1066,1066,Europe,United Kingdom,Norman conquest of England changing its history forever,William the Conqueror; Harold Godwinson
First Crusade,war,1096,1099,Europe,France,Christian military expedition to reclaim the Holy Land,Godfrey of Bouillon; Raymond of Toulouse
Third Crusade,war,1189,1192,Europe,United Kingdom,Crusade led by three European monarchs to retake Jerusalem,Richard the Lionheart; Saladin; Philip II
Mongol Conquests,war,1206,1368,Asia,China,Largest contiguous land empire through ruthless military campaigns,Genghis Khan; Kublai Khan; Subutai
Battle of Ain Jalut,battle,1260,1260,Africa,Egypt,Mamluk victory that halted Mongol expansion into Africa,Qutuz; Baibars; Kitbuqa
Hundred Years War,war,1337,1453,Europe,France,Dynastic conflict between England and France reshaping both nations,Joan of Arc; Henry V; Edward III
Wars of the Roses,war,1455,1487,Europe,United Kingdom,English civil war between House of Lancaster and House of York,Richard III; Henry VII; Edward IV
Fall of Constantinople,siege,1453,1453,Europe,Turkey,Ottoman siege ending the Byzantine Empire and the medieval era,Mehmed II; Constantine XI
Spanish Conquest of the Aztec Empire,war,1519,1521,North America,Mexico,Spanish overthrow of the Aztec civilization,Hernan Cortes; Montezuma II
Spanish Conquest of the Inca Empire,war,1532,1572,South America,Peru,Spanish destruction of the Inca Empire,Francisco Pizarro; Atahualpa
Italian Wars,war,1494,1559,Europe,Italy,Series of conflicts involving major European powers fighting over Italy,Charles VIII; Francis I; Charles V
French Wars of Religion,war,1562,1598,Europe,France,Civil wars between Catholics and Huguenots devastating France,Henry IV; Catherine de Medici; Duke of Guise
Dutch Revolt,war,1568,1648,Europe,Netherlands,Eighty Years War for Dutch independence from Spanish rule,William of Orange; Duke of Alba; Maurice of Nassau
Anglo-Spanish War,war,1585,1604,Europe,Spain,Maritime conflict including the defeat of the Spanish Armada,Elizabeth I; Philip II; Francis Drake
Imjin War,war,1592,1598,Asia,South Korea,Japanese invasion of Korea repelled with Ming Chinese support,Yi Sun-sin; Toyotomi Hideyoshi
Thirty Years War,war,1618,1648,Europe,Germany,Catastrophic religious and political conflict devastating Central Europe,Gustavus Adolphus; Wallenstein; Cardinal Richelieu
English Civil War,war,1642,1651,Europe,United Kingdom,Conflict between Parliamentarians and Royalists over governance,Oliver Cromwell; Charles I
Great Turkish War,war,1683,1699,Europe,Austria,Holy League's campaign to push Ottoman Empire out of Europe,Jan III Sobieski; Eugene of Savoy; Suleiman II
Battle of Vienna,siege,1683,1683,Europe,Austria,Allied Christian forces breaking the Ottoman siege of Vienna,Jan III Sobieski; Kara Mustafa Pasha
War of the Spanish Succession,war,1701,1714,Europe,Spain,European conflict over who would inherit the Spanish throne,Duke of Marlborough; Louis XIV; Philip V
Great Northern War,war,1700,1721,Europe,Russia,War establishing Russia as a major European power,Peter the Great; Charles XII of Sweden
War of the Austrian Succession,war,1740,1748,Europe,Austria,Conflict over Maria Theresa's right to the Habsburg throne,Maria Theresa; Frederick the Great
Seven Years War,war,1756,1763,Europe,Germany,Global conflict often called the first true world war,Frederick the Great; William Pitt; Maria Theresa
Battle of Plassey,battle,1757,1757,Asia,India,British East India Company victory establishing British dominance in India,Robert Clive; Siraj ud-Daulah
American Revolutionary War,war,1775,1783,North America,United States,Colonial revolt establishing American independence from Britain,George Washington; Benjamin Franklin; Marquis de Lafayette
French Revolution,revolution,1789,1799,Europe,France,Radical upheaval ending the monarchy and reshaping European politics,Robespierre; Napoleon Bonaparte; Louis XVI; Marie Antoinette
Haitian Revolution,revolution,1791,1804,North America,Haiti,Slave revolt creating the first free Black republic,Toussaint Louverture; Jean-Jacques Dessalines
Napoleonic Wars,war,1803,1815,Europe,France,Series of conflicts during Napoleon's quest for European dominance,Napoleon Bonaparte; Duke of Wellington; Tsar Alexander I
Battle of Trafalgar,battle,1805,1805,Europe,United Kingdom,Decisive British naval victory securing maritime supremacy,Admiral Nelson; Pierre-Charles Villeneuve
Battle of Austerlitz,battle,1805,1805,Europe,France,Napoleon's greatest tactical victory against Russia and Austria,Napoleon Bonaparte; Tsar Alexander I; Francis II
Battle of Waterloo,battle,1815,1815,Europe,Belgium,Napoleon's final defeat ending his rule and the Napoleonic era,Napoleon Bonaparte; Duke of Wellington; Gebhard von Blucher
Latin American Wars of Independence,war,1808,1833,South America,Argentina,Series of revolutions freeing South America from Spanish rule,Simon Bolivar; Jose de San Martin
Greek War of Independence,war,1821,1829,Europe,Greece,Greek revolt against Ottoman rule with European support,Theodoros Kolokotronis; Lord Byron
Mexican-American War,war,1846,1848,North America,Mexico,Conflict resulting in US acquisition of vast western territories,Zachary Taylor; Antonio Lopez de Santa Anna
Taiping Rebellion,war,1850,1864,Asia,China,Massive civil war that was one of the deadliest conflicts in history,Hong Xiuquan; Zeng Guofan; Charles Gordon
Crimean War,war,1853,1856,Europe,Russia,Allied war against Russia over Ottoman territories and influence,Florence Nightingale; Lord Raglan; Tsar Nicholas I
Indian Rebellion of 1857,uprising,1857,1858,Asia,India,Major uprising against British East India Company rule,Rani Lakshmibai; Bahadur Shah II; Mangal Pandey
American Civil War,war,1861,1865,North America,United States,War between Union and Confederate states over slavery and secession,Abraham Lincoln; Robert E. Lee; Ulysses S. Grant
Battle of Gettysburg,battle,1863,1863,North America,United States,Turning point of the American Civil War,George Meade; Robert E. Lee; Joshua Chamberlain
Austro-Prussian War,war,1866,1866,Europe,Austria,Seven Weeks War establishing Prussian dominance in Germany,Otto von Bismarck; Helmuth von Moltke
Franco-Prussian War,war,1870,1871,Europe,France,Conflict leading to German unification and the fall of Napoleon III,Otto von Bismarck; Napoleon III; Helmuth von Moltke
Meiji Restoration,revolution,1868,1868,Asia,Japan,Overthrow of the Tokugawa shogunate modernizing Japan,Emperor Meiji; Saigo Takamori
Battle of Isandlwana,battle,1879,1879,Africa,South Africa,Stunning Zulu victory against well-armed British forces,Cetshwayo; Lord Chelmsford
Mahdist War,war,1881,1899,Africa,Sudan,Sudanese revolt against Egyptian-British rule,Muhammad Ahmad; Charles Gordon; Lord Kitchener
First Sino-Japanese War,war,1894,1895,Asia,Japan,Japan's victory over China establishing it as a regional power,Emperor Meiji; Li Hongzhang
Boxer Rebellion,uprising,1899,1901,Asia,China,Anti-foreign uprising in China suppressed by international coalition,Empress Dowager Cixi; Eight-Nation Alliance commanders
Boer Wars,war,1899,1902,Africa,South Africa,British conflicts with Dutch settlers over South African territories,Lord Kitchener; Paul Kruger; Cecil Rhodes
Russo-Japanese War,war,1904,1905,Asia,Japan,Japan's shocking victory over Russia changing global power dynamics,Admiral Togo; Tsar Nicholas II
Mexican Revolution,revolution,1910,1920,North America,Mexico,Decade-long civil war transforming Mexican society and government,Emiliano Zapata; Pancho Villa; Venustiano Carranza
Balkan Wars,war,1912,1913,Europe,Greece,Two wars redrawing the map of southeastern Europe,Eleftherios Venizelos; Ferdinand I of Bulgaria
World War I,war,1914,1918,Europe,France,Global conflict reshaping empires and modern warfare,Woodrow Wilson; Kaiser Wilhelm II; Ferdinand Foch
Battle of the Somme,battle,1916,1916,Europe,France,One of the bloodiest battles in history during World War I,Douglas Haig; Erich von Falkenhayn
Battle of Gallipoli,battle,1915,1916,Europe,Turkey,Failed Allied campaign to secure a sea route to Russia,Winston Churchill; Mustafa Kemal Ataturk
Russian Revolution,revolution,1917,1922,Europe,Russia,Bolshevik overthrow of the Tsarist regime and subsequent civil war,Vladimir Lenin; Leon Trotsky; Tsar Nicholas II
Irish War of Independence,war,1919,1921,Europe,Ireland,Guerrilla war leading to Irish independence from Britain,Michael Collins; Eamon de Valera
Turkish War of Independence,war,1919,1923,Europe,Turkey,National movement establishing the Republic of Turkey,Mustafa Kemal Ataturk; Ismet Inonu
Chinese Civil War,war,1927,1949,Asia,China,Conflict between Nationalists and Communists reshaping China,Mao Zedong; Chiang Kai-shek
Spanish Civil War,war,1936,1939,Europe,Spain,Brutal civil war between Republicans and Nationalists,Francisco Franco; Ernest Hemingway; La Pasionaria
Second Sino-Japanese War,war,1937,1945,Asia,China,Japanese invasion of China leading to millions of casualties,Chiang Kai-shek; Emperor Hirohito
World War II,war,1939,1945,Europe,France,Deadliest conflict in human history reshaping the entire world,Winston Churchill; Franklin Roosevelt; Adolf Hitler; Charles de Gaulle
Battle of Britain,battle,1940,1940,Europe,United Kingdom,Air campaign where the RAF defended against German Luftwaffe,Winston Churchill; Hugh Dowding; Hermann Goering
Battle of Stalingrad,battle,1942,1943,Europe,Russia,Turning point of WWII on the Eastern Front,Vasily Chuikov; Friedrich Paulus; Georgy Zhukov
Battle of Midway,battle,1942,1942,North America,United States,Decisive naval battle turning the tide in the Pacific Theater,Chester Nimitz; Isoroku Yamamoto
D-Day Normandy Invasion,battle,1944,1944,Europe,France,Allied invasion of Nazi-occupied Europe beginning its liberation,Dwight Eisenhower; Erwin Rommel; Bernard Montgomery
Battle of the Bulge,battle,1944,1945,Europe,Belgium,Last major German offensive on the Western Front,George Patton; Anthony McAuliffe
Battle of Berlin,battle,1945,1945,Europe,Germany,Final major offensive ending the European theater of WWII,Georgy Zhukov; Adolf Hitler
Atomic Bombings of Japan,battle,1945,1945,Asia,Japan,Nuclear attacks on Hiroshima and Nagasaki ending WWII,Harry Truman; Emperor Hirohito
Arab-Israeli War 1948,war,1948,1949,Asia,Israel,War following Israeli declaration of independence,David Ben-Gurion; King Abdullah I
Korean War,war,1950,1953,Asia,South Korea,Cold War conflict dividing Korea into North and South,Douglas MacArthur; Kim Il-sung; Mao Zedong
First Indochina War,war,1946,1954,Asia,Vietnam,Vietnamese war for independence from French colonial rule,Ho Chi Minh; Vo Nguyen Giap; Henri Navarre
Suez Crisis,war,1956,1956,Africa,Egypt,International conflict over control of the Suez Canal,Gamal Abdel Nasser; Anthony Eden
Hungarian Revolution,revolution,1956,1956,Europe,Hungary,Anti-Soviet uprising brutally suppressed by the USSR,Imre Nagy; Pal Maleter
Cuban Revolution,revolution,1953,1959,North America,Cuba,Guerrilla campaign overthrowing the Batista dictatorship,Fidel Castro; Che Guevara; Fulgencio Batista
Algerian War of Independence,war,1954,1962,Africa,Algeria,Brutal war for Algerian independence from France,Ahmed Ben Bella; Charles de Gaulle
Vietnam War,war,1955,1975,Asia,Vietnam,Protracted Cold War conflict with massive global impact,Ho Chi Minh; Lyndon Johnson; Richard Nixon
Six-Day War,war,1967,1967,Asia,Israel,Rapid Israeli victory reshaping the Middle East,Moshe Dayan; Gamal Abdel Nasser; Yitzhak Rabin
Nigerian Civil War,war,1967,1970,Africa,Nigeria,Biafran secessionist conflict causing widespread famine,Yakubu Gowon; Odumegwu Ojukwu
Yom Kippur War,war,1973,1973,Asia,Israel,Surprise Arab coalition attack on Israel during Yom Kippur,Golda Meir; Anwar Sadat; Ariel Sharon
Cambodian Civil War,war,1967,1975,Asia,Cambodia,Conflict leading to the Khmer Rouge genocide,Pol Pot; Lon Nol; Norodom Sihanouk
Ethiopian Civil War,war,1974,1991,Africa,Ethiopia,Long conflict between the Derg regime and rebel forces,Mengistu Haile Mariam; Meles Zenawi
Iranian Revolution,revolution,1978,1979,Asia,Iran,Islamic revolution overthrowing the Shah and establishing theocracy,Ayatollah Khomeini; Mohammad Reza Shah
Soviet-Afghan War,war,1979,1989,Asia,Afghanistan,Soviet invasion met with fierce Mujahideen resistance,Ahmad Shah Massoud; Leonid Brezhnev
Falklands War,war,1982,1982,South America,Argentina,British-Argentine conflict over the Falkland Islands,Margaret Thatcher; Leopoldo Galtieri
Iran-Iraq War,war,1980,1988,Asia,Iran,Devastating eight-year conflict between Iran and Iraq,Ayatollah Khomeini; Saddam Hussein
Lebanese Civil War,war,1975,1990,Asia,Lebanon,Complex multi-faction civil war devastating Beirut,Yasser Arafat; Bashir Gemayel; Hafez al-Assad
Rwandan Civil War,war,1990,1994,Africa,Rwanda,Conflict culminating in the horrific 1994 genocide,Paul Kagame; Juvenal Habyarimana
Gulf War,war,1990,1991,Asia,Iraq,Coalition war to liberate Kuwait from Iraqi invasion,Norman Schwarzkopf; Saddam Hussein; Colin Powell
Yugoslav Wars,war,1991,2001,Europe,Serbia,Series of ethnic conflicts during Yugoslavia's dissolution,Slobodan Milosevic; Franjo Tudjman
Siege of Sarajevo,siege,1992,1996,Europe,Bosnia and Herzegovina,Longest siege of a capital city in modern warfare,Ratko Mladic; Alija Izetbegovic
First Chechen War,war,1994,1996,Europe,Russia,Brutal Russian campaign against Chechen separatists,Boris Yeltsin; Dzhokhar Dudayev
Second Congo War,war,1998,2003,Africa,Democratic Republic of the Congo,Deadliest conflict since WWII involving multiple African nations,Laurent-Desire Kabila; Paul Kagame
War in Afghanistan,war,2001,2021,Asia,Afghanistan,US-led campaign against Taliban following September 11 attacks,George W. Bush; Osama bin Laden; Hamid Karzai
Iraq War,war,2003,2011,Asia,Iraq,US-led invasion toppling Saddam Hussein and its aftermath,George W. Bush; Saddam Hussein; Tony Blair
Darfur Conflict,war,2003,2020,Africa,Sudan,Ethnic conflict and humanitarian crisis in western Sudan,Omar al-Bashir; Janjaweed militia leaders
Syrian Civil War,war,2011,2023,Asia,Syria,Multi-sided civil war causing massive displacement and destruction,Bashar al-Assad; Abu Bakr al-Baghdadi
Libyan Civil War,war,2011,2020,Africa,Libya,Uprising and subsequent chaos following Gaddafi's overthrow,Muammar Gaddafi; Khalifa Haftar
Russo-Ukrainian War,war,2014,2025,Europe,Ukraine,Russian aggression against Ukrainian sovereignty and territory,Volodymyr Zelenskyy; Vladimir Putin
Battle of Kadesh,battle,-1274,-1274,Africa,Egypt,One of the earliest recorded major battles between Egypt and Hittites,Ramesses II; Muwatalli II
Warring States Period,war,-475,-221,Asia,China,Era of intense military conflict among Chinese kingdoms,Sun Tzu; Qin Shi Huang
Third Punic War,war,-149,-146,Europe,Italy,Final destruction of Carthage by Rome,Scipio Aemilianus; Hasdrubal
Spartacus Revolt,uprising,-73,-71,Europe,Italy,Slave revolt challenging Roman authority,Spartacus; Marcus Licinius Crassus
Sengoku Period,war,1467,1615,Asia,Japan,Era of civil war and social upheaval in feudal Japan,Oda Nobunaga; Tokugawa Ieyasu; Toyotomi Hideyoshi
Battle of Lepanto,battle,1571,1571,Europe,Italy,Naval battle halting Ottoman expansion in the Mediterranean,Don John of Austria; Selim II
Mughal Conquests,war,1526,1707,Asia,India,Establishment and expansion of the Mughal Empire in South Asia,Babur; Akbar the Great; Aurangzeb
Siege of Vienna 1529,siege,1529,1529,Europe,Austria,Ottoman attempt to capture Vienna repelled by defenders,Suleiman the Magnificent; Niklas Graf Salm
